Velocity,Orientation
0,0
0.05333333333333333,0
0,-0.0
0.053437398472937984,0
0,-0.031209404997978675
0.05099019513592784,0
0,-0.06748837492696172
0.05174724898753341,0
0,-0.03160341594873009
0.05270462766947298,0
0,-0.030574081324650615
0.05217491947499509,0
0,-0.07094852730208195
0.053748384988657,0
0,-0.027749252622858406
0.05270462766947298,0
0,-0.043199274679223576
0.052068331172711035,0
0,-0.0445968062958666
0.05270462766947298,0
0,0.0445968062958666
0.053748384988657,0
0,0.043199274679223576
0.05217491947499509,0
0,0.027749252622858406
0.05270462766947298,0
0,0.07094852730208195
0.05174724898753341,0
0,0.030574081324650615
0.05099019513592784,0
0,0.03160341594873009
0.053437398472937984,0
0,0.06748837492696172
0.05333333333333333,0
0,-0.0
0.053437398472937984,0
0,0.06241880999595735
0.05099019513592784,0
0,0.06748837492696172
0.05174724898753341,0
0,0.03160341594873009
0.05270462766947298,0
0,0.030574081324650615
0.05217491947499509,0
0,0.07094852730208195
0.053748384988657,0
0,0.027749252622858406
0.05270462766947298,0
0,0.043199274679223576
0.052068331172711035,0
0,0.0445968062958666
0.05270462766947298,0
0,-0.0445968062958666
0.053748384988657,0
0,-0.043199274679223576
0.05217491947499509,0
0,-0.027749252622858406
0.05270462766947298,0
0,-0.07094852730208195
0.05174724898753341,0
0,-0.030574081324650615
0.05099019513592784,0
0,-0.03160341594873009
0.053437398472937984,0
0,-0.06748837492696172
0.05333333333333333,0
0,-0.0
0.053437398472937984,0
0,-0.06241880999595735
0.05099019513592784,0
0,-0.06748837492696172
0.05174724898753341,0
0,-0.03160341594873009
0.05270462766947298,0
0,-0.030574081324650615
0.05217491947499509,0
0,-0.07094852730208195
0.053748384988657,0
0,-0.027749252622858406
0.05270462766947298,0
0,-0.043199274679223576
0.10413666234542207,0
0,-0.0445968062958666
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.10413666234542207,0
0,-0.0
0.052068331172711035,0
0,-0.0
0.05270462766947298,0
0,0.0445968062958666
0.053748384988657,0
0,0.043199274679223576
0.05217491947499509,0
0,0.027749252622858406
0.05270462766947298,0
0,0.07094852730208195
0.05174724898753341,0
0,0.030574081324650615
0.05099019513592784,0
0,0.03160341594873009
0.053437398472937984,0
0,0.06748837492696172
0.05333333333333333,0
0,-0.0
0.053437398472937984,0
0,-0.0
0.05099019513592784,0
0,-0.06748837492696172
0.05174724898753341,0
0,-0.03160341594873009
0.05270462766947298,0
0,-0.030574081324650615
0.05217491947499509,0
0,-0.07094852730208195
0.053748384988657,0
0,-0.027749252622858406
0.05270462766947298,0
0,-0.043199274679223576
0.052068331172711035,0
0,-0.0445968062958666
0.05270462766947298,0
0,0.0445968062958666
0.053748384988657,0
0,0.043199274679223576
0.05217491947499509,0
0,0.027749252622858406
0.05270462766947298,0
0,0.07094852730208195
0.05174724898753341,0
0,0.030574081324650615
0.05099019513592784,0
0,0.03160341594873009
0.053437398472937984,0
0,0.06748837492696172
0.05333333333333333,0
0,-0.0
0.053437398472937984,0
0,0.06241880999595735
0.05099019513592784,0
0,0.06748837492696172
0.05174724898753341,0
0,0.03160341594873009
0.05270462766947298,0
0,0.030574081324650615
0.05217491947499509,0
0,0.07094852730208195
0.053748384988657,0
0,0.027749252622858406
0.05270462766947298,0
0,0.043199274679223576
0.052068331172711035,0
0,0.0445968062958666
0.05270462766947298,0
0,-0.0445968062958666
0.053748384988657,0
0,-0.043199274679223576
0.05217491947499509,0
0,-0.027749252622858406
0.05270462766947298,0
0,-0.07094852730208195
0.05174724898753341,0
0,-0.030574081324650615
0.05099019513592784,0
0,-0.03160341594873009
0.053437398472937984,0
0,-0.06748837492696172
